지역,아파트,면적,층,가격
강원도 강릉시 견소동,송정한신,59.8,5,10900
강원도 강릉시 견소동,송정한신,116.175,10,18500
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,6,25000
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,3,20600
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,1,20500
강원도 강릉시 교동,강릉 교동 풍림아이원 아파트,84.9964,14,29200
강원도 강릉시 교동,강릉교동롯데캐슬1단지,135.1727,9,34300
강원도 강릉시 교동,강릉교동롯데캐슬2단지,118.0686,2,32500
강원도 강릉시 교동,교동1주공,59.89,10,16200
강원도 강릉시 교동,교동1주공,84.84,9,21550
강원도 강릉시 교동,교동1주공,84.84,4,21800
강원도 강릉시 교동,교동1주공,84.84,4,17500
강원도 강릉시 교동,교동1주공,84.84,1,20300
강원도 강릉시 교동,교동1주공,84.84,3,18600
강원도 강릉시 교동,교동2현대,84.97,1,20400
강원도 강릉시 교동,교동2현대,84.97,4,22500
강원도 강릉시 교동,교동3주공,59.86,10,16600
강원도 강릉시 교동,교동3주공,59.84,7,16100
강원도 강릉시 교동,교동3주공,59.86,4,17300
강원도 강릉시 교동,교동3주공,59.79,2,16150
강원도 강릉시 교동,교동이-편한세상,84.7155,15,25000
강원도 강릉시 교동,교동이-편한세상,84.7155,3,25000
강원도 강릉시 교동,교동이-편한세상,123.7566,3,32500
강원도 강릉시 교동,부영3차,84.93,1,20000
강원도 강릉시 교동,부영3차,84.93,1,17300
강원도 강릉시 교동,부영3차,84.93,11,16800
강원도 강릉시 교동,부영3차,84.93,7,19000
강원도 강릉시 교동,부영3차,84.93,3,19600
강원도 강릉시 교동,부영3차,84.93,4,20300
강원도 강릉시 교동,부영3차,84.93,7,19400
강원도 강릉시 교동,부영5,84.93,15,19500
강원도 강릉시 교동,부영5,84.93,6,19600
강원도 강릉시 교동,부영6,84.9763,10,20000
강원도 강릉시 교동,부영6,84.9763,13,20000
강원도 강릉시 교동,부영6,84.9763,1,16950
강원도 강릉시 교동,서일2,27.75,1,4600
강원도 강릉시 교동,한신,59.84,16,13200
강원도 강릉시 교동,현대,84.945,5,14700
강원도 강릉시 교동,현대하이빌,122.74,6,28500
강원도 강릉시 남문동,삼익그린맨션,164.754,12,21000
강원도 강릉시 내곡동,내곡동현대,59.84,4,14500
강원도 강릉시 내곡동,내곡동현대,84.865,14,17100
강원도 강릉시 내곡동,내곡동현대,84.99,3,15100
강원도 강릉시 내곡동,내곡시영,39.3,5,4000
강원도 강릉시 내곡동,내곡한라,59.97,9,11700
강원도 강릉시 노암동,노암2주공,42.74,1,4200
강원도 강릉시 노암동,노암3한라,39.762,11,7400
강원도 강릉시 노암동,노암3한라,59.994,2,10700
강원도 강릉시 노암동,노암3한라,59.994,14,9700
강원도 강릉시 노암동,노암3한라,39.762,3,6000
강원도 강릉시 노암동,노암3한라,74.64,8,13000
강원도 강릉시 노암동,노암남산현대,84.99,12,15700
강원도 강릉시 노암동,노암남산현대,84.99,12,12900
강원도 강릉시 노암동,노암남산현대,59.84,6,11300
강원도 강릉시 노암동,노암남산현대,84.99,4,13200
강원도 강릉시 노암동,신화,84.954,1,13700
강원도 강릉시 노암동,양우내안애,114.6085,12,24800
강원도 강릉시 노암동,양우내안애,114.6085,7,24800
강원도 강릉시 노암동,양우내안애,59.6927,12,16800
강원도 강릉시 노암동,영진노암2차,49.525,2,5700
강원도 강릉시 송정동,강릉송정 한신더휴,84.961,20,30000
강원도 강릉시 송정동,강릉송정 한신더휴,84.9955,16,27500
강원도 강릉시 송정동,대림맨션,77.99,7,12900
강원도 강릉시 송정동,비치소라,51,1,4500
강원도 강릉시 송정동,삼우은성,72.86,9,11900
강원도 강릉시 송정동,삼우은성,84.96,14,15900
강원도 강릉시 연곡면 영진리,근화,84.78,3,9800
강원도 강릉시 연곡면 영진리,삼우그린,30.24,4,4800
강원도 강릉시 연곡면 영진리,삼우그린,43.2,9,6250
강원도 강릉시 연곡면 영진리,삼우그린,43.2,12,6550
강원도 강릉시 연곡면 영진리,삼천리,59.85,4,7400
강원도 강릉시 연곡면 영진리,영진부영1,59.987,13,13800
강원도 강릉시 연곡면 영진리,영진부영2,59.987,2,12500
강원도 강릉시 입암동,강릉더샵,84.93,11,24000
강원도 강릉시 입암동,강릉더샵,84.94,7,23800
강원도 강릉시 입암동,강릉더샵,84.94,3,23900
강원도 강릉시 입암동,강릉입암동금호어울림,123.09,8,27900
강원도 강릉시 입암동,강릉입암동금호어울림,84.77,13,22900
강원도 강릉시 입암동,강릉입암동금호어울림,84.77,11,21000
강원도 강릉시 입암동,녹원,84.88,13,13000
강원도 강릉시 입암동,대인3,59.685,6,6900
강원도 강릉시 입암동,대인3,59.685,13,6500
강원도 강릉시 입암동,대인3,59.685,9,6850
강원도 강릉시 입암동,삼동광업소사원,43.47,2,5000
강원도 강릉시 입암동,에버그린,59.85,11,8300
강원도 강릉시 입암동,이안강릉타운,84.7,5,19900
강원도 강릉시 입암동,이안강릉타운,122.72,8,25000
강원도 강릉시 입암동,이안강릉타운,84.7,12,19000
강원도 강릉시 입암동,이안강릉타운,84.7,3,17800
강원도 강릉시 입암동,이안강릉타운,84.7,2,18250
강원도 강릉시 입암동,입암1주공,39.72,4,6200
강원도 강릉시 입암동,입암2주공,46.68,1,5800
강원도 강릉시 입암동,입암2주공,39.69,5,4800
강원도 강릉시 입암동,입암2주공,39.69,3,4600
강원도 강릉시 입암동,입암4주공,59.8,1,7500
강원도 강릉시 입암동,입암6주공,59.99,5,9350
강원도 강릉시 입암동,입암6주공,59.99,1,8900
강원도 강릉시 입암동,입암6주공,59.99,15,9000
강원도 강릉시 입암동,입암6주공,59.99,15,9800
강원도 강릉시 입암동,입암6주공,59.99,10,10000
강원도 강릉시 입암동,입암6주공,59.99,9,9200
강원도 강릉시 입암동,입암6주공,49.62,9,8200
강원도 강릉시 입암동,입암6주공,59.99,8,9300
강원도 강릉시 입암동,입암6주공,59.99,12,8600
강원도 강릉시 입암동,입암6주공,59.99,14,9400
강원도 강릉시 입암동,입암현대,59.956,12,12000
강원도 강릉시 입암동,입암현대,84.904,3,16000
강원도 강릉시 입암동,입암현대,59.824,6,11000
강원도 강릉시 입암동,입암현대,59.956,11,11000
강원도 강릉시 입암동,입암현대,59.956,5,11000
강원도 강릉시 입암동,입암현대,59.956,3,11400
강원도 강릉시 입암동,입암현대,59.824,4,11500
강원도 강릉시 입암동,입암현대,59.956,14,12000
강원도 강릉시 입암동,입암현대,59.956,5,10500
강원도 강릉시 입암동,입암현대,59.956,3,10650
강원도 강릉시 입암동,태평양임대,34.722,6,4570
강원도 강릉시 저동,경포현대,84.915,5,14500
강원도 강릉시 주문진읍 교항리,교항2주공,39.51,6,7700
강원도 강릉시 주문진읍 교항리,교항2주공,49.85,5,11000
강원도 강릉시 주문진읍 교항리,교항2주공,49.85,12,8700
강원도 강릉시 주문진읍 교항리,교항2주공,49.85,2,8200
강원도 강릉시 주문진읍 교항리,극동,63.18,2,8000
강원도 강릉시 주문진읍 교항리,소훈,84.68,1,5200
강원도 강릉시 주문진읍 교항리,소훈4차,72.09,1,5500
강원도 강릉시 주문진읍 교항리,우신그린피아임대,59.98,10,7900
강원도 강릉시 주문진읍 교항리,우신그린피아임대,49.86,10,6900
강원도 강릉시 주문진읍 주문리,주문진 라일플로리스4차,26.4616,13,11300
강원도 강릉시 초당동,동부,84.98,5,18700
강원도 강릉시 초당동,우성,84.77,4,14500
강원도 강릉시 초당동,유화3,45.68,4,7300
강원도 강릉시 초당동,이화해변(B~D동),29.82,4,4000
강원도 강릉시 초당동,이화해변(B~D동),29.82,2,4330
강원도 강릉시 초당동,이화해변(B~D동),29.82,4,4150
강원도 강릉시 초당동,초당동청마루,84.89,14,23500
강원도 강릉시 초당동,현대,59.875,8,11200
강원도 강릉시 초당동,현대,59.875,8,10700
강원도 강릉시 포남동,고려3,84.97,9,13000
강원도 강릉시 포남동,대목5,84.94,2,10900
강원도 강릉시 포남동,서일임대,23.76,4,2600
강원도 강릉시 포남동,서일임대,23.76,4,2600
강원도 강릉시 포남동,영진아파트,36.33,5,4000
강원도 강릉시 포남동,용지,60.9,2,7500
강원도 강릉시 포남동,일송,59.135,11,9800
강원도 강릉시 포남동,일송,59.135,2,9700
강원도 강릉시 포남동,일송,59.135,15,10300
강원도 강릉시 포남동,일송,59.135,14,9500
강원도 강릉시 포남동,일송,59.135,7,10500
강원도 강릉시 포남동,일송,58.87,15,9300
강원도 강릉시 포남동,일송,59.135,5,10000
강원도 강릉시 포남동,일송,59.135,7,9390
강원도 강릉시 포남동,일송,59.135,14,9500
강원도 강릉시 포남동,일송,59.135,15,10000
강원도 강릉시 포남동,일송,59.135,15,10000
강원도 강릉시 포남동,일송,58.87,4,10000
강원도 강릉시 포남동,청송,84.42,3,16000
강원도 강릉시 포남동,청송,84.42,1,17100
강원도 강릉시 포남동,포남1주공,41.98,3,6500
강원도 강릉시 포남동,포남1주공,41.98,1,6450
강원도 강릉시 포남동,포남1주공,41.98,1,6900
강원도 강릉시 포남동,포남1주공,42.54,1,7000
강원도 강릉시 포남동,포남2주공,47.01,2,7100
강원도 강릉시 홍제동,강릉홍제힐스테이트,129.689,9,27200
강원도 강릉시 홍제동,강릉홍제힐스테이트,129.689,8,29900
강원도 강릉시 홍제동,강릉홍제힐스테이트,84.409,11,24700
강원도 강릉시 홍제동,엘에이치미디어촌6단지,59.98,4,24000
강원도 강릉시 홍제동,엘에이치미디어촌6단지,59.98,19,22000
강원도 강릉시 홍제동,엘에이치미디어촌6단지,59.78,4,22000
강원도 강릉시 홍제동,우미린아파트,84.9843,18,34200
강원도 강릉시 홍제동,우미린아파트,84.9871,20,34000
강원도 강릉시 홍제동,우미린아파트,84.9871,8,34900
강원도 강릉시 홍제동,우미린아파트,84.9819,12,35400
강원도 강릉시 홍제동,우미린아파트,78.4089,15,30000
강원도 강릉시 홍제동,우미린아파트,84.9843,19,33900
강원도 강릉시 홍제동,우미린아파트,84.9871,4,32800
강원도 강릉시 홍제동,우미린아파트,78.4089,10,31000
강원도 강릉시 홍제동,우미린아파트,84.9819,12,34500
강원도 강릉시 홍제동,우산,50.445,11,6800
강원도 강릉시 홍제동,홍제한신휴플러스,84.97,12,29000
강원도 강릉시 홍제동,홍제한신휴플러스,84.59,18,28500
강원도 강릉시 홍제동,홍제한신휴플러스,59.96,10,22500
강원도 강릉시 회산동,강릉서희스타힐스리버파크,74.6787,12,21000
강원도 강릉시 회산동,강릉서희스타힐스리버파크,84.8956,2,21400
강원도 강릉시 회산동,강릉서희스타힐스리버파크,84.8956,2,21000
강원도 강릉시 회산동,강릉서희스타힐스리버파크,84.8956,10,24000
강원도 강릉시 회산동,힐스테이트 강릉,84.9925,3,24000
강원도 강릉시 회산동,힐스테이트 강릉,74.9974,15,23000
강원도 강릉시 회산동,힐스테이트 강릉,74.9985,6,24100
강원도 강릉시 회산동,힐스테이트 강릉,74.9974,13,25400
강원도 고성군 간성읍 상리,간성대명,59.4,4,7100
강원도 고성군 간성읍 상리,간성대명,39.6,3,5700
강원도 고성군 간성읍 신안리,고성삼익레스타운,84.92,7,15000
강원도 고성군 간성읍 신안리,고성삼익레스타운,39.36,13,6800
강원도 고성군 간성읍 신안리,고성삼익레스타운,39.36,15,6280
강원도 고성군 간성읍 신안리,고성삼익레스타운,59.68,13,11050
강원도 고성군 거진읍 거진리,동진,49.44,1,5050
강원도 고성군 거진읍 거진리,동진,58.26,1,5000
강원도 고성군 거진읍 송포리,거진오션상떼빌,70.64,12,19500
강원도 고성군 토성면 청간리,유진클래시움,37.65,13,11500
강원도 동해시 구미동,현진,59.8,9,6500
강원도 동해시 동회동,"대동1,2차",84.5525,15,11800
강원도 동해시 동회동,"대동1,2차",84.5525,8,11800
강원도 동해시 동회동,"대동1,2차",45,5,6200
강원도 동해시 동회동,대동3차,45,9,6400
강원도 동해시 동회동,북삼하우스디아파트,74.7297,25,22500
강원도 동해시 동회동,현대4차,45,8,6400
강원도 동해시 동회동,현대4차,59.3575,8,8200
강원도 동해시 동회동,현대5차,77.7562,7,13000
강원도 동해시 동회동,현대5차,77.7562,2,14000
강원도 동해시 묵호진동,삼본임대,40.965,6,5775
강원도 동해시 묵호진동,유한타워광이,59.14,3,4800
강원도 동해시 발한동,강경,46.54,3,3000
강원도 동해시 발한동,강경,46.54,5,3450
강원도 동해시 발한동,경민1차,53.14,4,2500
강원도 동해시 발한동,경민2차,79.15,2,5500
강원도 동해시 발한동,대원,22.23,4,950
강원도 동해시 발한동,현대비에스앤씨 현대썬앤빌 동해파크힐,59.8993,18,18000
강원도 동해시 발한동,현대비에스앤씨 현대썬앤빌 동해파크힐,59.8993,17,17100
강원도 동해시 북평동,북평주공2차,46.68,3,3900
